thamizh@thamizh-HP-Pavilion-Laptop-15-eg2xxx:~/Desktop/linux_office/assignment/thamizh_Linux_Training_Module_1$ ps -e
    PID TTY          TIME CMD
      1 ?        00:00:04 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_g
      5 ?        00:00:00 kworker/R-rcu_p
      6 ?        00:00:00 kworker/R-slub_
      7 ?        00:00:00 kworker/R-netns
      9 ?        00:00:00 kworker/0:0H-events_highpri
     12 ?        00:00:00 kworker/R-mm_pe
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
     16 ?        00:00:00 ksoftirqd/0
     17 ?        00:00:22 rcu_preempt
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/2
     22 ?        00:00:00 idle_inject/2
     23 ?        00:00:00 migration/2
     24 ?        00:00:00 ksoftirqd/2
     26 ?        00:00:00 kworker/2:0H-events_highpri
     27 ?        00:00:00 cpuhp/4
     28 ?        00:00:00 idle_inject/4
     29 ?        00:00:00 migration/4
     30 ?        00:00:00 ksoftirqd/4
     32 ?        00:00:00 kworker/4:0H-events_highpri
     33 ?        00:00:00 cpuhp/6
     34 ?        00:00:00 idle_inject/6
     35 ?        00:00:00 migration/6
     36 ?        00:00:00 ksoftirqd/6
     38 ?        00:00:00 kworker/6:0H-events_highpri
     39 ?        00:00:00 cpuhp/8
     40 ?        00:00:00 idle_inject/8
     41 ?        00:00:02 migration/8
     42 ?        00:00:00 ksoftirqd/8
     44 ?        00:00:00 kworker/8:0H-events_highpri
     45 ?        00:00:00 cpuhp/9
     46 ?        00:00:00 idle_inject/9
     47 ?        00:00:01 migration/9
     48 ?        00:00:00 ksoftirqd/9
     50 ?        00:00:00 kworker/9:0H-events_highpri
     51 ?        00:00:00 cpuhp/10
     52 ?        00:00:00 idle_inject/10
     53 ?        00:00:01 migration/10
     54 ?        00:00:00 ksoftirqd/10
     56 ?        00:00:00 kworker/10:0H-events_highpri
     57 ?        00:00:00 cpuhp/11
     58 ?        00:00:00 idle_inject/11
     59 ?        00:00:01 migration/11
     60 ?        00:00:00 ksoftirqd/11
     62 ?        00:00:00 kworker/11:0H-events_highpri
     63 ?        00:00:00 cpuhp/12
     64 ?        00:00:00 idle_inject/12
     65 ?        00:00:02 migration/12
     66 ?        00:00:00 ksoftirqd/12
     68 ?        00:00:00 kworker/12:0H-events_highpri
     69 ?        00:00:00 cpuhp/13
     70 ?        00:00:00 idle_inject/13
     71 ?        00:00:01 migration/13
     72 ?        00:00:00 ksoftirqd/13
     74 ?        00:00:00 kworker/13:0H-events_highpri
     75 ?        00:00:00 cpuhp/14
     76 ?        00:00:00 idle_inject/14
     77 ?        00:00:01 migration/14
     78 ?        00:00:00 ksoftirqd/14
     80 ?        00:00:00 kworker/14:0H-events_highpri
     81 ?        00:00:00 cpuhp/15
     82 ?        00:00:00 idle_inject/15
     83 ?        00:00:01 migration/15
     84 ?        00:00:00 ksoftirqd/15
     86 ?        00:00:00 kworker/15:0H-events_highpri
     87 ?        00:00:00 cpuhp/1
     88 ?        00:00:00 idle_inject/1
     89 ?        00:00:00 migration/1
     90 ?        00:00:00 ksoftirqd/1
     92 ?        00:00:00 kworker/1:0H-events_highpri
     93 ?        00:00:00 cpuhp/3
     94 ?        00:00:00 idle_inject/3
     95 ?        00:00:00 migration/3
     96 ?        00:00:00 ksoftirqd/3
     98 ?        00:00:00 kworker/3:0H-events_highpri
     99 ?        00:00:00 cpuhp/5
    100 ?        00:00:00 idle_inject/5
    101 ?        00:00:00 migration/5
    102 ?        00:00:00 ksoftirqd/5
    104 ?        00:00:00 kworker/5:0H-events_highpri
    105 ?        00:00:00 cpuhp/7
    106 ?        00:00:00 idle_inject/7
    107 ?        00:00:00 migration/7
    108 ?        00:00:00 ksoftirqd/7
    110 ?        00:00:00 kworker/7:0H-events_highpri
    111 ?        00:00:00 kdevtmpfs
    112 ?        00:00:00 kworker/R-inet_
    114 ?        00:00:00 kauditd
    116 ?        00:00:00 khungtaskd
    117 ?        00:00:00 oom_reaper
    119 ?        00:00:00 kworker/R-write
    120 ?        00:00:01 kcompactd0
    121 ?        00:00:00 ksmd
    123 ?        00:00:00 khugepaged
    124 ?        00:00:00 kworker/R-kinte
    125 ?        00:00:00 kworker/R-kbloc
    126 ?        00:00:00 kworker/R-blkcg
    127 ?        00:00:01 kworker/8:1-mm_percpu_wq
    128 ?        00:00:28 irq/9-acpi
